Number,Bin,Qmean,Qstd,dQmean,dQstd,n
402204,37,0.5750228792678633,0.012539778595736484,0.04696454970571427,0.02334891054470013,7
402204,38,0.5602622316085885,0.005913694397834325,0.04987539598750003,0.011055441541941212,4
402204,39,0.570550862372404,0.027950129531890903,0.11906230200649998,0.05716063106269141,6
402204,40,0.5284054910242871,0.01520591341077082,0.0690348468855,0.029195353748499953,2
402204,41,0.5193035651430582,0.015927919432018618,0.06864383768271426,0.03316799869713968,7
402204,42,0.5192819429778246,0.016639996894242892,0.09012038014833329,0.03263683247505196,3
402204,43,0.5226275959169306,0.020332430149510566,0.11039493136174998,0.04006423947467871,4
402204,44,0.528709374633345,0.02692871420830599,0.1361436114043333,0.05815218795144795,3
402204,45,0.4831252688802846,0.01948541459296049,0.08092925026388892,0.03936538695497768,9
402204,46,0.486360436466033,0.01801830341429075,0.11723759239699993,0.04668215417099998,2
402204,47,0.43600375454652107,0.006944328420999972,0.03183104540633331,0.012682538041431959,3
402204,48,0.43470608940513894,0.00411477798653561,0.05522787750780001,0.006349156264711201,5
402204,49,0.4138034338456725,0.0075734777407042075,0.03230411826844439,0.015568705119661281,9
402204,50,0.4014355273964566,0.009085108918170704,0.03750791974666667,0.01786543479175021,6
402204,51,0.43063123313387297,0.022733728956070672,0.10664413938733325,0.04507806074789764,3
402204,52,0.40773108060542057,0.01681452200009457,0.07280591341079994,0.03462979109591492,5
402204,53,0.4053898275255191,0.019470638371251354,0.08515311509999998,0.03903884447459954,4
402204,54,0.37424709609292495,0.008779595195956218,0.03941372756080001,0.018465664565761895,5
402204,55,0.3697066760530329,0.007353729701664485,0.04237381203800006,0.0130184091628236,3
402204,56,0.3579479056670186,0.006641983619601564,0.028465469905000016,0.01309990984741256,5
402204,57,0.365732488560366,0.013643750312895565,0.055227877508,0.026908297755446123,5
402204,58,0.3984723688841956,0.010263991552270313,0.1290982048575,0.019311510031500022,2
402204,59,0.36031209667957287,0.016303383485303007,0.06940654699055557,0.03190258687145198,9
402204,60,0.3439581133403731,0.010188313973952812,0.05322069693749999,0.02068004223850005,2
402204,61,0.3433491728264695,0.010036958817317835,0.05322069693799998,0.01976768743400001,2
402204,62,0.34596034260237,0.01658090595899728,0.0645237592398333,0.031955427924570075,6
402204,63,0.335008296877357,0.011863013856075274,0.053177251470714254,0.024309489033037347,7
402204,64,0.3131282998944034,0.0036094902820628413,0.022428722280750015,0.007557583724632645,4
402204,65,0.3089538894755367,0.00541101975134911,0.022322280887000015,0.010061030269673928,5
402204,66,0.3104435058078141,0.008666904721754685,0.03941372756070001,0.017470335024028772,10
402204,67,0.2934741288278775,0.0019928569012804117,0.0172333685325,0.004229078935903853,6
402204,68,0.2908509327701513,0.005632724132299042,0.021820485744249957,0.010891351580779364,4
402204,69,0.28422642475440785,0.004793218710915932,0.018495920130454545,0.009154168205444286,11
402204,70,0.28890226446087053,0.011516560793711906,0.04636789862726668,0.02285610660598716,15
