Number,a,b,n,r2,Qmin,Qavg,Qmax,S,Smin,Smax
410730,-2.2906252062818195,1.5709200204108975,847,0.97,0.12008912466844311,0.7458034071135674,6.727580689655173,42.90302086755346,-11.03075576058523,31.87226510285766
305202,-0.9734552622429474,1.2358441000626634,324,0.95,0.004229881022950439,0.6679446198549533,26.942809715240344,42.867426417141864,-2.4916517185379488,40.37575712485224
403226,-1.9920093325784152,1.4829235843584536,630,0.96,0.01797480595498,0.5992118644974793,6.347030410993965,35.08534305753595,-9.103608882614552,25.981734177955992
224206,-2.0155339052896775,1.5651910861769893,258,0.93,0.04088968025079918,0.6709483953388602,6.599378257049193,34.90817023115881,-10.21154276235801,24.69662746879074
226222,-2.56505897923861,1.4819533790378914,309,0.48,0.5452288844386923,1.0116717336271173,4.2182721168592305,34.572066342657834,-6.918544300228913,27.653522042426605
226407,-1.692227059485069,1.254481996186028,339,0.97,0.122691975875,0.7018108771214986,8.540821397666667,34.526307382205715,-4.07064592422409,30.45566145607495
401203,-2.1752761460661714,1.7697209961755367,298,0.91,0.11114651653766489,0.6944186990094298,5.135024766747985,32.67474473885034,-12.10083415806199,20.57391057921274
405205,-2.3625084313368214,1.4929926684920538,411,0.74,0.49259996088893104,1.1795176066129711,4.682276253176207,31.18229458971076,-8.144869040886718,23.037425548790537
216002,-1.559635453250588,1.5177815186740329,445,0.98,2.9178240171949157,4.255827312058934,24.798308731094615,29.866286053769375,-3.3005393739220596,26.565746679838536
215207,-1.6520142268074536,1.5747462475928347,426,0.98,0.012766006939361503,0.21713630330897815,8.54662555463866,28.633090544355472,-4.488026480680613,24.145064196627857
219001,-2.28934563327807,1.8543145123716374,605,0.98,1.7728235294117647,2.8173050683753855,16.047176470588237,27.863584201236144,-5.140301278311317,22.72328292282639
405217,-1.9121767428175576,1.464029127948297,309,0.85,0.08502518790520051,0.5755947154721893,5.3774981926651035,27.738729810297908,-6.021950540993955,21.71677926545173
302214,-1.1193920634796042,1.4917369677901335,400,0.99,0.021195998260121758,0.479673976500558,20.8533145889534,27.36935929789253,-3.298654830329122,24.07070534723898
222206,-1.9153896265487307,1.6458918495615011,461,0.97,0.03029771493928655,0.2841509695490723,4.46198505828431,27.00339394096914,-6.721616748414725,20.281777192536637
