station_id,a,a_std,b,b_std,n,r2,Qmin,Qavg,Qmax,S,Smin,Smax
410734,-1.5972901171069898,0.0671194346202378,1.3823565748254536,0.036891288641413965,659,0.94,0.017980510543026445,0.1734744731364219,6.383292653836142,24.461270656423324,-2.042246354919966,22.419024298013362
410061,-1.596541353853595,0.04111595658603835,1.5587438432534237,0.037055717217979414,646,0.93,0.13925613784485352,0.5627126556045534,8.134656548523783,23.521072097335193,-3.99257074901461,19.52850134831877
407214,-1.7941053358683776,0.12566933192196,1.0418714317041537,0.05957262242114098,148,0.89,0.0019371974566227224,0.12130195511237368,3.691076427773083,21.919919902584486,-0.8159189908996607,21.104000909939614
422306A,-0.8906661778822706,0.1250090252985971,1.354775388003637,0.048073607381421586,609,0.91,0.0022002170827465513,0.23056482644299647,13.833233697925452,20.498024491036382,-1.3925650679964054,19.10545534337895
410156,-1.0639234298239235,0.08989944359837403,1.0587072360093868,0.04231337353420754,498,0.88,0.0010454726710208,0.26604853760851976,7.28207356479784,19.94623731181746,-0.8804045451133571,19.065832275827482
405228,-1.368192389125128,0.07432401281853612,1.5221576701504136,0.0562676759511514,350,0.89,0.025803913764397585,0.3186387488536306,7.386834685108345,19.942673943231004,-3.327559364392739,16.615114572954468
405274,-1.0039120804731494,0.04185451705602395,1.360856776577212,0.02544008914394591,434,0.96,0.0044043366640179995,0.2728899237965831,10.95647363463264,19.58621374211527,-1.728505592813009,17.85770269798593
405226,-1.5155068726403116,0.06032392881188403,1.1577309495409311,0.03991919541564742,361,0.95,9.183622760288275e-4,0.15882867629678693,3.3613411004652414,14.988480736455651,-1.1323868918850308,13.856093258143721
406226,-1.2387569385070465,0.07984608109802374,1.2701054792798108,0.04150103071420119,386,0.94,8.631368631363571e-4,0.16714190711172558,4.373478521482389,13.854861005254977,-1.2538853070447034,12.600970978479818
405251,-1.2142305591738793,0.09850678113201884,1.6895174756854,0.07203870008334862,357,0.88,0.03402480040765707,0.2544151242288024,4.68708136572369,13.725621919234479,-3.2942984400054693,10.431323479245831
410731,-1.1898646942773041,0.08346776826972738,1.4723440824049765,0.04084365247986847,778,0.91,0.012798258405043998,0.16345530672636036,4.499441785955137,13.148849033384266,-1.7705871947090117,11.37826183932006
410033,-1.4606577761457042,0.1260550600324536,1.5578073126833722,0.08162447360559813,376,0.89,0.01459324753637292,0.1509813675584404,2.509310522373425,13.133103781008968,-2.7205221343864516,10.412581646587434
412066,-1.1388079076535005,0.018026957416713417,1.468238299450955,0.01572794416579891,361,0.99,0.04769638248358838,0.29225587348034476,4.6981622170463755,12.20660604624847,-1.888859013580249,10.317747035184759
406214,-0.9890033459373814,0.1352377643239387,1.2056455573906828,0.06080278099586004,261,0.9,0.0010685290266255862,0.10806608279506863,4.772691750325389,11.698636562625072,-0.5632104111840645,11.135424871437962
406235,-0.7587436808329268,0.05880306362353447,1.4312549208012986,0.03192803422140017,388,0.96,0.01005895178874207,0.28067340434649685,7.480386013081515,11.518927975057567,-1.5484079141732894,9.970520053050869
