station_id,DEM_mean,DEM_stdev,DEM_min,DEM_max
"405215",853.627624511719,306.390167236328,316.286987304688,1759.3349609375
"405217",452.850006103516,145.845748901367,215.240798950195,1010.46197509766
"405219",785.075134277344,232.565734863281,297.780792236328,1570.08203125
"405226",203.759033203125,100.152008056641,114.889602661133,534.417114257812
"405227",751.891967773438,208.821380615234,314.510711669922,1479.73596191406
"405228",433.190643310547,104.479454040527,162.590805053711,679.926025390625
"405229",156.019714355469,25.4122428894043,114.25309753418,256.949584960938
"405230",193.676666259766,46.8756523132324,112.346801757812,428.898895263672
"405231",530.338562011719,111.113204956055,261.833892822266,791.984924316406
"405238",451.393493652344,92.8982467651367,246.450805664062,772.549682617188
"405240",344.340728759766,111.470436096191,143.914306640625,806.656188964844
"405241",967.153137207031,248.352005004883,253.133102416992,1489.73400878906
"405245",405.097412109375,78.3778305053711,307.647308349609,772.801086425781
"405248",226.566146850586,56.3132629394531,142.890396118164,569.887390136719
"405251",546.271057128906,118.203247070312,316.950805664062,999.772216796875
"405263",867.634399414062,203.328536987305,400.292602539062,1455.33898925781
"405264",822.412719726562,191.503189086914,449.7333984375,1479.73596191406
"405274",354.122894287109,94.1116333007812,199.573699951172,661.490478515625
"406214",276.375,75.2417907714844,167.506500244141,715.499328613281
"406224",189.699768066406,32.3832550048828,135.000106811523,420.570709228516
"406226",326.860168457031,85.3379745483398,201.441604614258,621.869873046875
"406235",379.525787353516,101.402763366699,213.291305541992,689.996826171875
"406250",681.351501464844,56.1960220336914,515.006469726562,854.310913085938
"407214",458.671783447266,73.0856781005859,298.228912353516,730.807922363281
"407253",177.57829284668,41.1860122680664,119.071701049805,439.209686279297
"408202",396.78369140625,85.0535049438477,274.065399169922,783.631225585938
"408206",327.733337402344,103.461441040039,195.514007568359,783.631225585938
"415220",227.347747802734,56.3291130065918,146.649993896484,597.31298828125
"415226",195.500152587891,28.1382713317871,156.67399597168,299.97900390625
"415237",266.063140869141,46.2275276184082,205.275100708008,520.713317871094
"415238",333.272308349609,79.1720962524414,228.660003662109,749.267211914062
"415245",407.807647705078,153.555130004883,244.397003173828,965.232299804688
