station_id,P,AET,PET,Tmax,Tmin,Q
408202,609.5797904756048,761.4602055308056,1504.3555651426316,18.988932843944802,7.348714786192205,39.01095833706932
408206,548.5609982898247,744.618094600766,1579.8369808402554,19.749284629402606,7.686310801550674,26.353113742395646
410033,858.3491516231445,881.5997830156623,1379.7097004619138,15.572450336592492,3.961147236894046,57.93290311548653
410047,784.9452391086862,850.3475580415785,1740.960317591963,21.05863110714429,7.772929733972839,77.8579452256482
410061,1016.1989410904316,887.6247629754246,1623.2465308386704,19.58850891992173,6.793802822419896,187.33172753059452
410088,1134.484939066855,892.0295174251343,1407.7205385142358,15.24134766685597,4.5544436369723424,319.9178395628173
410156,703.0050349644791,823.7348199868135,1803.0931053457589,21.487896297089456,8.330401577034351,64.06159390547963
410705,684.3301436623341,889.1443018050949,1456.224143025793,18.23897024423383,5.4584325494592205,46.059411555733874
410730,1050.1213463683935,889.6086599365391,1371.541896433666,14.338498288662459,3.8876169110221213,274.2367084563899
410731,825.0959295104727,882.077369417096,1411.153864856424,16.153285044037265,4.350624663255873,60.93686861124244
410734,764.6956503851079,889.3242488709695,1367.4117360049281,16.476803494282713,4.423254584199064,63.46492781779762
410761,711.0255652650502,872.5296945325259,1398.11398677086,16.881187405394837,4.301437917837718,48.62974681311746
412029,667.4840555534679,918.640108593579,1667.944466643498,20.9657596819843,7.57042728789675,49.13376737868541
412066,783.1008296748145,952.6402703527747,1460.4627710737032,18.28657428630021,6.410915011880868,73.33958976947922
415237,516.218617089282,716.9626362820504,1562.4017855594898,19.891394976108092,7.792876678867339,21.723977199549722
415238,522.3593567586263,724.3544423245856,1592.910141981059,19.86614057424285,7.726072370184405,24.0529079784359
415245,603.4914308092381,742.4366896374456,1465.44144433038,18.776471079553186,7.189792691571765,31.481509743506273
416003,788.3931500417244,1101.4626542810736,1600.3853601948967,21.229517285468475,8.299530433231405,55.918607849626376
422202B,594.19042390095,962.439257849823,2297.8143796213744,27.478036162698398,12.622982830473495,24.514506998098742
422306A,904.6622077145267,1117.0695700458155,1722.7101948179047,21.9435696929718,10.37835278618288,98.74195541453966
422319B,751.597475056343,1086.879908799457,1774.4757568934867,23.27939899959845,10.676188678802209,66.5819397694138
422321B,1018.55335085875,1123.9692575678744,1629.3709602520382,21.36619173378751,10.128371089839586,251.643017023117
422334A,665.5226509588247,1068.2960265348697,1883.7161593519409,24.28520138756533,11.089477442753273,30.06946080053259
422338A,606.6998981660521,996.3076642595488,2041.8176245656507,25.10446703544274,10.917634963105753,20.332829029138953
422394A,823.8374862307159,1097.6897352478627,1726.0870368595781,22.727077582281396,10.435164412569717,90.36370727070408
A4260533,564.4669928978566,749.5420085026642,1700.6849361896516,20.887519060688057,9.416556728304123,31.45441170789655
