Number,latitude,longitude,area,DEM_Mean,DEM_Range,Slope,StreamLength,StreamDensity,CatStorage,RegolithDepth,SoilDepth,Clay,KSat,AWC,PAWC,ForestCover,FoliageCover,Igneous,Sedimentary,Metamorphic,SedVolc,OldRock,UnconsolRock,Silica,Qcv,P,Q,PET,AET,P/PET,Q/P,BFI,AR1
318076,-41.49375,147.384339,379.8,675.625854492188,1250.51083374023,9.9136581,4.1659789,0.6894805,0.1672696,3.65696668624878,0.931914746761322,32.450877189636245,204.5112915,148.3659377098084,81.5343627929688,97.62762188911441,52.56686401367199,41.8335304,36.4654507,0,0,0,21.7007771,65.3124771118164,18639.1077812619,1221.007917516113,377.87727472070867,859.4190712455513,687.4626365451882,1.4207363536237483,0.30947979067115433,0.4912219891612063,0.7746624811194767
304499,-42.70695183,146.7105482,210.2,547.109252929688,1191.74249267578,10.9890318,3.1148863,0.6763575,0.7372828,2.17818355560303,0.874357759952545,35.67067575454711,210.9969635,160.8802995681765,106.424011230469,99.5226442813873,61.86289978027301,9.5980358,67.5598335,0,0,4.7926683,22.8421345,64.667449951171875,25593.988436123174,1410.966082247008,772.9585424273923,777.6184120053199,664.3244685903929,1.8144710316315853,0.5478221993801803,0.4674195290853765,0.8469753982752695
302214,-41.047088,148.21625,229.9,108.066963195801,445.842926979065,2.6736896,0.9041407,0.7984421,5.2597632,5.74466466903687,0.864518523216248,33.709007453918474,185.8205566,138.34367465972886,112.368156433105,99.6419370174408,55.64205932617199,94.1871338,5.8128918,0,0,0,0,68,17492.768174690867,943.5420812240951,201.8124820832562,973.5410126355096,736.1205387251738,0.969185754865937,0.21388816259412274,0.27357686337590786,0.5569372917118938
305202,-43.07076,147.23674,18.3,392.514709472656,640.599182128906,10.9308681,3.0025539,0.6956312,0,1.7140896320343,0.871568202972412,33.74091472625733,78.6648865,150.0259447097779,68.9907150268555,100,69.777359008789,24.3496418,75.6503525,0,0,0,0,63.49553298950195,20921.718798886704,994.3128970627597,235.53861290774094,846.5494354065781,616.7869658910262,1.174547941887427,0.23688580687581492,0.18598566935864583,0.5553066730099482
314207,-41.25125,146.090026,499.3,554.777404785156,1302.93803405762,8.3587322,8.6973162,0.7270417,0.4729865,5.36439418792725,0.910737693309784,44.07672729492187,242.4849091,160.6169347763061,83.748893737793,97.2486793994904,54.58457946777301,63.8161736,24.5277135,0,0,0,11.6561251,62.051063537597656,45668.41036003283,1721.1997289048495,909.2222068954715,902.9400946439754,900.2025222004369,1.9062169673432319,0.528249099524309,0.4577698643203869,0.7615007492126408
314213,-40.8725395,145.2975395,318.5,179.944396972656,536.831363677979,4.206049,3.4172673,0.7674038,0.7992889,6.56094312667847,0.920021593570709,40.94625797271726,130.0881805,145.2973141670227,87.0887603759766,99.6137201786041,66.178451538086,23.1346169,71.7179184,0.611312,0,72.3258209,4.536108,58.72196578979492,27508.747741082563,1268.5062164451629,533.7445494799168,990.6260323538343,893.3674762640085,1.280509672687538,0.42076620718160307,0.4015977083857206,0.7412991148526862
221207,-37.44713,148.91375,159.2,693.200500488281,1079.91148376465,11.7555437,0.6329664,0.9762249,0,5.27048683166504,0.995613634586334,29.26786737442016,261.7448425,138.63061046600347,151.814743041992,100,81.254791259766,42.4714966,57.5284309,0,0,0,0,68.57950592041016,20387.94759095613,1064.2532039869047,318.4258638017614,935.8085751745592,712.2752852974907,1.1372552381114762,0.29920122637063684,0.6390001597213294,0.666365174579987
221210,-37.41699,149.51949,844.1,480.928375244141,1037.86902618408,6.3800974,1.9759957,0.9197267,0.3781346,2.98019742965698,0.869337797164917,23.641837596893286,117.4888077,135.69633340835554,104.071670532227,99.9689638614655,64.576080322266,62.0948067,37.6453807,0,0,0,0.2597666,70.5678939819336,6158.0169547464375,875.8010280093723,94.4065515362304,984.8487339914739,730.3196648362249,0.889274665013637,0.10779452012154993,0.1894381883350323,0.5506510456355793
222206,-37.49458,148.17458,850.2,893.212951660156,1750.85748291015,11.477252,2.9148798,0.8029872,0,2.44584226608276,0.845551192760468,25.06902179718017,239.3253479,137.4036350250246,123.865104675293,87.33462691307071,38.112457275390994,67.6379242,28.2816795,0.3351414,3.3468227,0,0.3983839,69.43867492675781,3834.177711064691,973.2798177983913,115.0049991969508,932.1736968127096,650.0652343481628,1.0440970616594651,0.11816231785952162,0.49965369661993214,0.7617944355488196
222213,-36.95423808,148.3267381,361.4,1066.48645019531,1455.91650390625,10.3137293,3.0575061,0.8347464,0.0338024,1.77056205272675,0.882799565792084,25.05362730026245,176.7114105,140.94348096847528,129.655136108398,86.8977069854736,29.22944641113301,87.0752563,12.9247513,0,0,0,0,69.75074768066406,3563.6395410909786,985.7221407655524,124.15495463000146,941.4472719065636,684.9015118837516,1.0470285168168005,0.12595329809024844,0.5322321868521879,0.8332552136762604
